"time","wallTime","wc2.out","wc1.out"
0.236,1.66706,1.45773,0.66322
0.237,1.6671,1.45032,0.660565
0.238,1.66714,1.4429,0.65791
0.239,1.66718,1.43549,0.655255
0.24,1.66742,1.42808,0.652599
0.241,1.66746,1.42113,0.650239
0.242,1.6675,1.41419,0.647878
0.243,1.66754,1.40724,0.645517
0.244,1.66758,1.40029,0.643157
0.245,1.6679,1.39335,0.640796
0.246,1.66794,1.38691,0.638732
0.247,1.66797,1.38048,0.636668
0.248,1.66801,1.37405,0.634604
0.249,1.66804,1.36761,0.63254
0.25,1.66834,1.36118,0.630476
0.251,1.66838,1.35529,0.628705
0.252,1.66842,1.34941,0.626933
0.253,1.66846,1.34352,0.625162
0.254,1.66849,1.33764,0.623391
0.255,1.66873,1.33175,0.62162
0.256,1.66876,1.32644,0.620133
0.257,1.6688,1.32113,0.618646
0.258,1.66885,1.31582,0.617159
0.259,1.66888,1.31051,0.615671
0.26,1.66915,1.3052,0.614184
0.261,1.66918,1.30048,0.612967
0.262,1.66922,1.29576,0.611749
0.263,1.66925,1.29103,0.610532
0.264,1.66929,1.28631,0.609314
0.265,1.66954,1.28159,0.608097
0.266,1.66957,1.27746,0.607129
0.267,1.66961,1.27334,0.606162
0.268,1.66964,1.26921,0.605195
0.269,1.66968,1.26508,0.604228
0.27,1.66994,1.26095,0.60326
0.271,1.66998,1.25741,0.602519
0.272,1.67001,1.25387,0.601778
0.273,1.67005,1.25032,0.601037
0.274,1.67009,1.24678,0.600295
0.275,1.67036,1.24324,0.599554
0.276,1.67039,1.24027,0.59901
0.277,1.67044,1.23729,0.598466
0.278,1.67047,1.23432,0.597922
0.279,1.6705,1.23134,0.597378
0.28,1.67075,1.22837,0.596834
0.281,1.67078,1.22593,0.596455
0.282,1.67081,1.2235,0.596075
0.283,1.67084,1.22106,0.595695
0.284,1.67088,1.21863,0.595316
0.285,1.67111,1.21619,0.594936
0.286,1.67115,1.21426,0.594684
0.287,1.67118,1.21232,0.594432
0.288,1.67122,1.21039,0.594179
0.289,1.67125,1.20846,0.593927
0.29,1.67151,1.20652,0.593675
0.291,1.67155,1.20504,0.59351
0.292,1.67158,1.20356,0.593345
0.293,1.67161,1.20207,0.59318
0.294,1.67164,1.20059,0.593016
0.295,1.67197,1.19911,0.592851
0.296,1.672,1.19802,0.59273
0.297,1.67204,1.19693,0.59261
0.298,1.67207,1.19584,0.592489
0.299,1.67211,1.19476,0.592368
0.3,1.67243,1.19367,0.592248
0.301,1.67246,1.19291,0.592126
0.302,1.6725,1.19215,0.592004
0.303,1.67254,1.19139,0.591882
0.304,1.67257,1.19063,0.59176
0.305,1.67282,1.18987,0.591639
0.306,1.67285,1.18937,0.591468
0.307,1.67289,1.18886,0.591298
0.308,1.67292,1.18836,0.591127
0.309,1.67295,1.18785,0.590957
0.31,1.67324,1.18735,0.590786
0.311,1.67328,1.18702,0.590518
0.312,1.67332,1.18669,0.590251
0.313,1.67335,1.18636,0.589983
0.314,1.67338,1.18603,0.589715
0.315,1.67368,1.1857,0.589447
0.316,1.67373,1.18546,0.589033
0.317,1.67376,1.18522,0.588618
0.318,1.67379,1.18498,0.588204
0.319,1.67383,1.18474,0.587789
0.32,1.67416,1.1845,0.587375
0.321,1.67419,1.18425,0.586764
0.322,1.67424,1.18401,0.586153
0.323,1.67427,1.18376,0.585542
0.324,1.6743,1.18352,0.584931
0.325,1.67456,1.18328,0.58432
0.326,1.67459,1.18294,0.583464
0.327,1.67463,1.1826,0.582607
0.328,1.67466,1.18225,0.581751
0.329,1.67469,1.18191,0.580894
0.33,1.67498,1.18157,0.580037
0.331,1.67501,1.18104,0.578887
0.332,1.67506,1.1805,0.577736
0.333,1.67509,1.17997,0.576586
0.334,1.67512,1.17943,0.575435
0.335,1.67545,1.17889,0.574285
0.336,1.67548,1.17807,0.572794
