"time","wallTime","source2.y","source1.y","adder.y"
0.5174,0.84795,0.494622,0.494622,0.989157
0.5175,0.847997,0.494709,0.494709,0.989331
0.5176,0.848057,0.494796,0.494796,0.989505
0.5177,0.848118,0.494883,0.494883,0.989679
0.5178,0.848161,0.49497,0.49497,0.989853
0.5179,0.848191,0.495057,0.495057,0.990026
0.518,0.848273,0.495144,0.495144,0.9902
0.5181,0.848339,0.49523,0.49523,0.990374
0.5182,0.848427,0.495317,0.495317,0.990548
0.5183,0.848499,0.495404,0.495404,0.990721
0.5184,0.84856,0.495491,0.495491,0.990895
0.5185,0.848647,0.495578,0.495578,0.991069
0.5186,0.848711,0.495665,0.495665,0.991243
0.5187,0.856625,0.495752,0.495752,0.991416
0.5188,0.856641,0.495838,0.495838,0.99159
0.5189,0.856658,0.495925,0.495925,0.991764
0.519,0.856675,0.496012,0.496012,0.991937
0.5191,0.85669,0.496099,0.496099,0.992111
0.5192,0.856708,0.496186,0.496186,0.992285
0.5193,0.856724,0.496273,0.496273,0.992458
0.5194,0.856732,0.496359,0.496359,0.992632
0.5195,0.856749,0.496446,0.496446,0.992806
0.5196,0.856758,0.496533,0.496533,0.992979
0.5197,0.856774,0.49662,0.49662,0.993153
0.5198,0.856783,0.496707,0.496707,0.993326
0.5199,0.856798,0.496793,0.496793,0.9935
0.52,0.856807,0.49688,0.49688,0.993673
0.5201,0.856816,0.496967,0.496967,0.993847
0.5202,0.856831,0.497054,0.497054,0.994021
0.5203,0.85684,0.49714,0.49714,0.994194
0.5204,0.856849,0.497227,0.497227,0.994368
0.5205,0.856866,0.497314,0.497314,0.994541
0.5206,0.856875,0.497401,0.497401,0.994715
0.5207,0.856885,0.497487,0.497487,0.994888
0.5208,0.856901,0.497574,0.497574,0.995062
0.5209,0.85691,0.497661,0.497661,0.995235
0.521,0.856919,0.497748,0.497748,0.995409
0.5211,0.856928,0.497834,0.497834,0.995582
0.5212,0.856938,0.497921,0.497921,0.995756
0.5213,0.856947,0.498008,0.498008,0.995929
0.5214,0.856956,0.498095,0.498095,0.996102
0.5215,0.856965,0.498181,0.498181,0.996276
0.5216,0.856975,0.498268,0.498268,0.996449
0.5217,0.856984,0.498355,0.498355,0.996623
0.5218,0.856993,0.498441,0.498441,0.996796
0.5219,0.857003,0.498528,0.498528,0.99697
0.522,0.857012,0.498615,0.498615,0.997143
0.5221,0.857021,0.498701,0.498701,0.997316
0.5222,0.857031,0.498788,0.498788,0.99749
0.5223,0.857041,0.498875,0.498875,0.997663
0.5224,0.857051,0.498961,0.498961,0.997836
0.5225,0.85706,0.499048,0.499048,0.99801
0.5226,0.857069,0.499135,0.499135,0.998183
0.5227,0.857079,0.499221,0.499221,0.998356
0.5228,0.857089,0.499308,0.499308,0.99853
0.5229,0.857099,0.499395,0.499395,0.998703
0.523,0.857108,0.499481,0.499481,0.998876
0.5231,0.857117,0.499568,0.499568,0.999049
0.5232,0.857126,0.499655,0.499655,0.999223
0.5233,0.857136,0.499741,0.499741,0.999396
0.5234,0.857146,0.499828,0.499828,0.999569
0.5235,0.857155,0.499914,0.499914,0.999742
0.5236,0.857164,0.500001,0.500001,0.999916
0.5237,0.857173,0.500088,0.500088,1.00009
0.5238,0.857186,0.500174,0.500174,1.00026
0.5239,0.857195,0.500261,0.500261,1.00044
0.524,0.857204,0.500347,0.500347,1.00061
0.5241,0.857215,0.500434,0.500434,1.00078
0.5242,0.857224,0.500521,0.500521,1.00095
0.5243,0.857233,0.500607,0.500607,1.00113
0.5244,0.857243,0.500694,0.500694,1.0013
0.5245,0.857252,0.50078,0.50078,1.00147
0.5246,0.857263,0.500867,0.500867,1.00165
0.5247,0.857273,0.500953,0.500953,1.00182
0.5248,0.857282,0.50104,0.50104,1.00199
0.5249,0.857291,0.501126,0.501126,1.00217
0.525,0.857301,0.501213,0.501213,1.00234
0.5251,0.85731,0.5013,0.5013,1.00251
0.5252,0.857319,0.501386,0.501386,1.00269
0.5253,0.857329,0.501473,0.501473,1.00286
0.5254,0.857338,0.501559,0.501559,1.00303
0.5255,0.857347,0.501646,0.501646,1.0032
0.5256,0.857359,0.501732,0.501732,1.00338
0.5257,0.857368,0.501819,0.501819,1.00355
0.5258,0.857377,0.501905,0.501905,1.00372
0.5259,0.857387,0.501992,0.501992,1.0039
0.526,0.857397,0.502078,0.502078,1.00407
0.5261,0.857406,0.502165,0.502165,1.00424
0.5262,0.857415,0.502251,0.502251,1.00442
0.5263,0.857424,0.502338,0.502338,1.00459
0.5264,0.857435,0.502424,0.502424,1.00476
0.5265,0.857444,0.50251,0.50251,1.00493
0.5266,0.857453,0.502597,0.502597,1.00511
0.5267,0.857462,0.502683,0.502683,1.00528
0.5268,0.857473,0.50277,0.50277,1.00545
0.5269,0.857482,0.502856,0.502856,1.00563
0.527,0.857492,0.502943,0.502943,1.0058
0.5271,0.857501,0.503029,0.503029,1.00597
0.5272,0.857511,0.503116,0.503116,1.00614
0.5273,0.85752,0.503202,0.503202,1.00632
0.5274,0.85753,0.503288,0.503288,1.00649
0.5275,0.857539,0.503375,0.503375,1.00666
0.5276,0.857549,0.503461,0.503461,1.00684
0.5277,0.857558,0.503548,0.503548,1.00701
0.5278,0.857567,0.503634,0.503634,1.00718
0.5279,0.857576,0.50372,0.50372,1.00735
0.528,0.857586,0.503807,0.503807,1.00753
0.5281,0.857595,0.503893,0.503893,1.0077
0.5282,0.857604,0.503979,0.503979,1.00787
0.5283,0.857613,0.504066,0.504066,1.00805
0.5284,0.857622,0.504152,0.504152,1.00822
0.5285,0.857632,0.504239,0.504239,1.00839
0.5286,0.857641,0.504325,0.504325,1.00856
0.5287,0.857651,0.504411,0.504411,1.00874
0.5288,0.85766,0.504498,0.504498,1.00891
0.5289,0.857671,0.504584,0.504584,1.00908
0.529,0.85768,0.50467,0.50467,1.00925
0.5291,0.857689,0.504757,0.504757,1.00943
0.5292,0.857699,0.504843,0.504843,1.0096
0.5293,0.857708,0.504929,0.504929,1.00977
0.5294,0.857717,0.505016,0.505016,1.00994
0.5295,0.857727,0.505102,0.505102,1.01012
0.5296,0.857736,0.505188,0.505188,1.01029
0.5297,0.857745,0.505274,0.505274,1.01046
0.5298,0.857755,0.505361,0.505361,1.01064
0.5299,0.857764,0.505447,0.505447,1.01081
0.53,0.857773,0.505533,0.505533,1.01098
0.5301,0.857788,0.50562,0.50562,1.01115
0.5302,0.857797,0.505706,0.505706,1.01133
0.5303,0.857809,0.505792,0.505792,1.0115
0.5304,0.857818,0.505878,0.505878,1.01167
0.5305,0.857827,0.505965,0.505965,1.01184
0.5306,0.857836,0.506051,0.506051,1.01202
0.5307,0.857845,0.506137,0.506137,1.01219
0.5308,0.857854,0.506223,0.506223,1.01236
0.5309,0.857863,0.50631,0.50631,1.01253
0.531,0.857873,0.506396,0.506396,1.01271
0.5311,0.857882,0.506482,0.506482,1.01288
0.5312,0.857896,0.506568,0.506568,1.01305
0.5313,0.857905,0.506655,0.506655,1.01322
0.5314,0.857917,0.506741,0.506741,1.0134
0.5315,0.857926,0.506827,0.506827,1.01357
0.5316,0.857936,0.506913,0.506913,1.01374
0.5317,0.857944,0.506999,0.506999,1.01391
0.5318,0.857954,0.507086,0.507086,1.01408
0.5319,0.857963,0.507172,0.507172,1.01426
0.532,0.857972,0.507258,0.507258,1.01443
0.5321,0.857982,0.507344,0.507344,1.0146
0.5322,0.857991,0.50743,0.50743,1.01477
0.5323,0.858001,0.507516,0.507516,1.01495
0.5324,0.85801,0.507603,0.507603,1.01512
0.5325,0.85802,0.507689,0.507689,1.01529
0.5326,0.858028,0.507775,0.507775,1.01546
0.5327,0.858038,0.507861,0.507861,1.01564
0.5328,0.858047,0.507947,0.507947,1.01581
0.5329,0.858056,0.508033,0.508033,1.01598
0.533,0.858065,0.508119,0.508119,1.01615
0.5331,0.858074,0.508206,0.508206,1.01633
0.5332,0.858084,0.508292,0.508292,1.0165
0.5333,0.858093,0.508378,0.508378,1.01667
0.5334,0.858103,0.508464,0.508464,1.01684
0.5335,0.858112,0.50855,0.50855,1.01701
0.5336,0.858121,0.508636,0.508636,1.01719
0.5337,0.858131,0.508722,0.508722,1.01736
0.5338,0.85814,0.508808,0.508808,1.01753
0.5339,0.858154,0.508894,0.508894,1.0177
0.534,0.858163,0.508981,0.508981,1.01787
0.5341,0.858172,0.509067,0.509067,1.01805
0.5342,0.858182,0.509153,0.509153,1.01822
0.5343,0.858192,0.509239,0.509239,1.01839
0.5344,0.858201,0.509325,0.509325,1.01856
0.5345,0.858211,0.509411,0.509411,1.01874
0.5346,0.85822,0.509497,0.509497,1.01891
0.5347,0.858229,0.509583,0.509583,1.01908
0.5348,0.858239,0.509669,0.509669,1.01925
0.5349,0.858247,0.509755,0.509755,1.01942
0.535,0.858258,0.509841,0.509841,1.0196
0.5351,0.858268,0.509927,0.509927,1.01977
0.5352,0.858277,0.510013,0.510013,1.01994
0.5353,0.858286,0.510099,0.510099,1.02011
0.5354,0.858296,0.510185,0.510185,1.02028
0.5355,0.858305,0.510271,0.510271,1.02046
0.5356,0.858314,0.510357,0.510357,1.02063
0.5357,0.858324,0.510443,0.510443,1.0208
0.5358,0.858333,0.510529,0.510529,1.02097
0.5359,0.858342,0.510615,0.510615,1.02114
0.536,0.858351,0.510701,0.510701,1.02132
0.5361,0.85836,0.510787,0.510787,1.02149
0.5362,0.858369,0.510873,0.510873,1.02166
0.5363,0.858378,0.510959,0.510959,1.02183
0.5364,0.858387,0.511045,0.511045,1.022
0.5365,0.858396,0.511131,0.511131,1.02218
0.5366,0.858405,0.511217,0.511217,1.02235
0.5367,0.858415,0.511303,0.511303,1.02252
0.5368,0.858423,0.511389,0.511389,1.02269
0.5369,0.858433,0.511475,0.511475,1.02286
0.537,0.858442,0.511561,0.511561,1.02304
0.5371,0.858451,0.511646,0.511646,1.02321
0.5372,0.85846,0.511732,0.511732,1.02338
0.5373,0.858468,0.511818,0.511818,1.02355
0.5374,0.858479,0.511904,0.511904,1.02372
0.5375,0.858487,0.51199,0.51199,1.02389
0.5376,0.858497,0.512076,0.512076,1.02407
0.5377,0.858506,0.512162,0.512162,1.02424
0.5378,0.858515,0.512248,0.512248,1.02441
0.5379,0.858523,0.512334,0.512334,1.02458
0.538,0.858533,0.51242,0.51242,1.02475
0.5381,0.858542,0.512505,0.512505,1.02492
0.5382,0.858552,0.512591,0.512591,1.0251
0.5383,0.858561,0.512677,0.512677,1.02527
0.5384,0.858572,0.512763,0.512763,1.02544
0.5385,0.858581,0.512849,0.512849,1.02561
0.5386,0.858589,0.512935,0.512935,1.02578
0.5387,0.858598,0.513021,0.513021,1.02596
0.5388,0.858607,0.513106,0.513106,1.02613
0.5389,0.858616,0.513192,0.513192,1.0263
0.539,0.858625,0.513278,0.513278,1.02647
0.5391,0.858634,0.513364,0.513364,1.02664
0.5392,0.858643,0.51345,0.51345,1.02681
0.5393,0.858652,0.513535,0.513535,1.02699
0.5394,0.85866,0.513621,0.513621,1.02716
0.5395,0.858669,0.513707,0.513707,1.02733
0.5396,0.858678,0.513793,0.513793,1.0275
0.5397,0.858687,0.513879,0.513879,1.02767
0.5398,0.858697,0.513964,0.513964,1.02784
0.5399,0.858706,0.51405,0.51405,1.02801
0.54,0.858715,0.514136,0.514136,1.02819
0.5401,0.858724,0.514222,0.514222,1.02836
0.5402,0.858733,0.514308,0.514308,1.02853
0.5403,0.85876,0.514393,0.514393,1.0287
0.5404,0.858797,0.514479,0.514479,1.02887
0.5405,0.858834,0.514565,0.514565,1.02904
0.5406,0.858869,0.514651,0.514651,1.02922
0.5407,0.858909,0.514736,0.514736,1.02939
0.5408,0.858953,0.514822,0.514822,1.02956
0.5409,0.858995,0.514908,0.514908,1.02973
0.541,0.859032,0.514993,0.514993,1.0299
0.5411,0.859066,0.515079,0.515079,1.03007
0.5412,0.859096,0.515165,0.515165,1.03024
0.5413,0.859133,0.515251,0.515251,1.03042
0.5414,0.859171,0.515336,0.515336,1.03059
0.5415,0.859212,0.515422,0.515422,1.03076
0.5416,0.859251,0.515508,0.515508,1.03093
0.5417,0.859289,0.515593,0.515593,1.0311
0.5418,0.859323,0.515679,0.515679,1.03127
0.5419,0.859361,0.515765,0.515765,1.03144
0.542,0.859393,0.51585,0.51585,1.03162
0.5421,0.859432,0.515936,0.515936,1.03179
0.5422,0.859469,0.516022,0.516022,1.03196
0.5423,0.859509,0.516107,0.516107,1.03213
