"time","fmi1.out","fmi2.out"
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
0.01,0,0
